library|idx|hex.color|color|red|green|blue|alpha
R-657|595|#836FFF|slateblue1|131|111|255|255
R-657|596|#7A67EE|slateblue2|122|103|238|255
R-657|597|#6959CD|slateblue3|105|89|205|255
R-657|598|#473C8B|slateblue4|71|60|139|255
R-657|599|#708090|slategray|112|128|144|255
R-657|600|#C6E2FF|slategray1|198|226|255|255
R-657|601|#B9D3EE|slategray2|185|211|238|255
R-657|602|#9FB6CD|slategray3|159|182|205|255
R-657|603|#6C7B8B|slategray4|108|123|139|255
R-657|604|#708090|slategrey|112|128|144|255
R-657|605|#FFFAFA|snow|255|250|250|255
R-657|606|#FFFAFA|snow1|255|250|250|255
R-657|607|#EEE9E9|snow2|238|233|233|255
R-657|608|#CDC9C9|snow3|205|201|201|255
R-657|609|#8B8989|snow4|139|137|137|255
R-657|610|#00FF7F|springgreen|0|255|127|255
R-657|611|#00FF7F|springgreen1|0|255|127|255
R-657|612|#00EE76|springgreen2|0|238|118|255
R-657|613|#00CD66|springgreen3|0|205|102|255
R-657|614|#008B45|springgreen4|0|139|69|255
R-657|615|#4682B4|steelblue|70|130|180|255
R-657|616|#63B8FF|steelblue1|99|184|255|255
R-657|617|#5CACEE|steelblue2|92|172|238|255
R-657|618|#4F94CD|steelblue3|79|148|205|255
R-657|619|#36648B|steelblue4|54|100|139|255
R-657|620|#D2B48C|tan|210|180|140|255
R-657|621|#FFA54F|tan1|255|165|79|255
R-657|622|#EE9A49|tan2|238|154|73|255
R-657|623|#CD853F|tan3|205|133|63|255
R-657|624|#8B5A2B|tan4|139|90|43|255
R-657|625|#D8BFD8|thistle|216|191|216|255
R-657|626|#FFE1FF|thistle1|255|225|255|255
R-657|627|#EED2EE|thistle2|238|210|238|255
R-657|628|#CDB5CD|thistle3|205|181|205|255
R-657|629|#8B7B8B|thistle4|139|123|139|255
R-657|630|#FF6347|tomato|255|99|71|255
R-657|631|#FF6347|tomato1|255|99|71|255
R-657|632|#EE5C42|tomato2|238|92|66|255
R-657|633|#CD4F39|tomato3|205|79|57|255
R-657|634|#8B3626|tomato4|139|54|38|255
R-657|635|#40E0D0|turquoise|64|224|208|255
R-657|636|#00F5FF|turquoise1|0|245|255|255
R-657|637|#00E5EE|turquoise2|0|229|238|255
R-657|638|#00C5CD|turquoise3|0|197|205|255
R-657|639|#00868B|turquoise4|0|134|139|255
R-657|640|#EE82EE|violet|238|130|238|255
R-657|641|#D02090|violetred|208|32|144|255
R-657|642|#FF3E96|violetred1|255|62|150|255
R-657|643|#EE3A8C|violetred2|238|58|140|255
R-657|644|#CD3278|violetred3|205|50|120|255
R-657|645|#8B2252|violetred4|139|34|82|255
R-657|646|#F5DEB3|wheat|245|222|179|255
R-657|647|#FFE7BA|wheat1|255|231|186|255
R-657|648|#EED8AE|wheat2|238|216|174|255
R-657|649|#CDBA96|wheat3|205|186|150|255
R-657|650|#8B7E66|wheat4|139|126|102|255
R-657|1|#FFFFFF|white|255|255|255|255
R-657|651|#F5F5F5|whitesmoke|245|245|245|255
R-657|652|#FFFF00|yellow|255|255|0|255
R-657|653|#FFFF00|yellow1|255|255|0|255
R-657|654|#EEEE00|yellow2|238|238|0|255
R-657|655|#CDCD00|yellow3|205|205|0|255
R-657|656|#8B8B00|yellow4|139|139|0|255
R-657|657|#9ACD32|yellowgreen|154|205|50|255
