################################################################################
#
#
#                           Welcome to the {humanVerse}
#
#
################################################################################
# character^integer^character^character^integer^integer^integer^integer
################################################################################
library|idx|hex.color|color|red|green|blue|alpha
WEB-216|31|#0000FF|WEB.31|0|0|255|255
WEB-216|32|#3300FF|WEB.32|51|0|255|255
WEB-216|33|#6600FF|WEB.33|102|0|255|255
WEB-216|34|#9900FF|WEB.34|153|0|255|255
WEB-216|35|#CC00FF|WEB.35|204|0|255|255
WEB-216|36|#FF00FF|WEB.36|255|0|255|255
WEB-216|37|#003300|WEB.37|0|51|0|255
WEB-216|38|#333300|WEB.38|51|51|0|255
WEB-216|39|#663300|WEB.39|102|51|0|255
WEB-216|4|#990000|WEB.4|153|0|0|255
WEB-216|40|#993300|WEB.40|153|51|0|255
WEB-216|41|#CC3300|WEB.41|204|51|0|255
WEB-216|42|#FF3300|WEB.42|255|51|0|255
WEB-216|43|#003333|WEB.43|0|51|51|255
WEB-216|44|#333333|WEB.44|51|51|51|255
WEB-216|45|#663333|WEB.45|102|51|51|255
WEB-216|46|#993333|WEB.46|153|51|51|255
WEB-216|47|#CC3333|WEB.47|204|51|51|255
WEB-216|48|#FF3333|WEB.48|255|51|51|255
WEB-216|49|#003366|WEB.49|0|51|102|255
WEB-216|5|#CC0000|WEB.5|204|0|0|255
WEB-216|50|#333366|WEB.50|51|51|102|255
WEB-216|51|#663366|WEB.51|102|51|102|255
WEB-216|52|#993366|WEB.52|153|51|102|255
WEB-216|53|#CC3366|WEB.53|204|51|102|255
WEB-216|54|#FF3366|WEB.54|255|51|102|255
WEB-216|55|#003399|WEB.55|0|51|153|255
WEB-216|56|#333399|WEB.56|51|51|153|255
WEB-216|57|#663399|WEB.57|102|51|153|255
WEB-216|58|#993399|WEB.58|153|51|153|255
WEB-216|59|#CC3399|WEB.59|204|51|153|255
WEB-216|6|#FF0000|WEB.6|255|0|0|255
WEB-216|60|#FF3399|WEB.60|255|51|153|255
WEB-216|61|#0033CC|WEB.61|0|51|204|255
WEB-216|62|#3333CC|WEB.62|51|51|204|255
WEB-216|63|#6633CC|WEB.63|102|51|204|255
WEB-216|64|#9933CC|WEB.64|153|51|204|255
WEB-216|65|#CC33CC|WEB.65|204|51|204|255
WEB-216|66|#FF33CC|WEB.66|255|51|204|255
WEB-216|67|#0033FF|WEB.67|0|51|255|255
WEB-216|68|#3333FF|WEB.68|51|51|255|255
WEB-216|69|#6633FF|WEB.69|102|51|255|255
WEB-216|7|#000033|WEB.7|0|0|51|255
WEB-216|70|#9933FF|WEB.70|153|51|255|255
WEB-216|71|#CC33FF|WEB.71|204|51|255|255
WEB-216|72|#FF33FF|WEB.72|255|51|255|255
WEB-216|73|#006600|WEB.73|0|102|0|255
WEB-216|74|#336600|WEB.74|51|102|0|255
WEB-216|75|#666600|WEB.75|102|102|0|255
WEB-216|76|#996600|WEB.76|153|102|0|255
WEB-216|77|#CC6600|WEB.77|204|102|0|255
WEB-216|78|#FF6600|WEB.78|255|102|0|255
WEB-216|79|#006633|WEB.79|0|102|51|255
WEB-216|8|#330033|WEB.8|51|0|51|255
WEB-216|80|#336633|WEB.80|51|102|51|255
WEB-216|81|#666633|WEB.81|102|102|51|255
